Date;Temperature;Humidity;Light;CO2;HumidityRatio;Occupancy
2015-02-04 17:51:00;23.18;27.272;426.0;721.25;0.00479298817650529;1
2015-02-04 18:01:00;23.075;27.15;419.0;690.25;0.00474095189694268;1
2015-02-04 18:10:59;22.89;27.39;0.0;689.5;0.00472950615591001;0
2015-02-04 18:21:00;22.7;27.463333333333303;0.0;668.666666666667;0.00468754308384392;0
2015-02-04 18:30:59;22.6;27.445;0.0;655.0;0.00465583283178072;0
2015-02-04 18:40:59;22.39;27.356666666666698;0.0;629.333333333333;0.0045814588813251;0
2015-02-04 18:51:00;22.34;27.39;0.0;626.5;0.0045730503494798205;0
2015-02-04 19:01:00;22.29;27.29;0.0;608.0;0.00454228962919881;0
2015-02-04 19:11:00;22.2;27.29;0.0;594.333333333333;0.00451728819349999;0
2015-02-04 19:21:00;22.2;27.2;0.0;577.0;0.0045022827427646395;0
2015-02-04 19:31:00;22.1;27.2;0.0;574.5;0.004474738269723721;0
2015-02-04 19:40:59;22.0;27.1;0.0;558.0;0.00443087555124918;0
2015-02-04 19:51:00;21.89;27.1;0.0;551.5;0.00440102296708593;0
2015-02-04 20:00:59;21.79;27.1;0.0;542.0;0.00437403835445405;0
2015-02-04 20:10:59;21.73;27.0;0.0;533.333333333333;0.00434172461000499;0
2015-02-04 20:21:00;21.7;26.89;0.0;533.333333333333;0.00431593567308493;0
2015-02-04 20:31:00;21.7;26.79;0.0;525.5;0.00429977438278406;0
2015-02-04 20:41:00;21.65;26.65;0.0;514.0;0.0042640030849451106;0
2015-02-04 20:51:00;21.6;26.445;0.0;508.75;0.00421797093546809;0
2015-02-04 21:01:00;21.55;26.245;0.0;503.0;0.00417298202219627;0
2015-02-04 21:10:59;21.5;26.1;0.0;500.0;0.00413700558321316;0
2015-02-04 21:21:00;21.5;26.0;0.0;493.0;0.00412104996926551;0
2015-02-04 21:30:59;21.5;25.89;0.0;491.0;0.00410349973312177;0
2015-02-04 21:40:59;21.463333333333303;25.76;0.0;493.333333333333;0.00407354230391887;0
2015-02-04 21:51:00;21.445;25.745;0.0;487.25;0.0040665556071492895;0
2015-02-04 22:01:00;21.39;25.7;0.0;485.5;0.00404565562779471;0
2015-02-04 22:11:00;21.39;25.7;0.0;475.0;0.00404565562779471;0
2015-02-04 22:21:00;21.39;25.7;0.0;477.5;0.00404565562779471;0
2015-02-04 22:31:00;21.29;25.7;0.0;474.0;0.00402076872591321;0
2015-02-04 22:40:59;21.29;25.7;0.0;475.5;0.00402076872591321;0
2015-02-04 22:51:00;21.29;25.7;0.0;469.5;0.00402076872591321;0
2015-02-04 23:00:59;21.245;25.65;0.0;471.0;0.00400176273769059;0
2015-02-04 23:10:59;21.2;25.6;0.0;467.5;0.00398282809773472;0
2015-02-04 23:21:00;21.2;25.5;0.0;473.0;0.00396717094567545;0
2015-02-04 23:31:00;21.2;25.39;0.0;467.0;0.00394994898302393;0
2015-02-04 23:41:00;21.2;25.39;0.0;467.0;0.00394994898302393;0
2015-02-04 23:51:00;21.2;25.29;0.0;465.0;0.00393429347565304;0
2015-02-05 00:01:00;21.245;25.245;0.0;458.5;0.00393817695145039;0
2015-02-05 00:10:59;21.29;25.2;0.0;461.666666666667;0.00394204788657305;0
2015-02-05 00:21:00;21.29;25.2;0.0;454.5;0.00394204788657305;0
2015-02-05 00:30:59;21.2;25.2;0.0;458.666666666667;0.00392020418856616;0
